"Bohemian Rhapsody","GV Katong","GV Katong","12/12/2018","9:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6391/showDate/12-12-2018/showTime/2125/hallNumber/1"
"Spider-Man: Into The Spider-Verse*","GV Grand, Great World City","GV Grand, Great World City","09/12/2018","10:35 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/07/filmCode/6414/showDate/09-12-2018/showTime/1035/hallNumber/4"
"The Grinch","GV Jurong Point","GV Jurong Point","10/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6398/showDate/10-12-2018/showTime/1840/hallNumber/1"
"Spider-Man: Into The Spider-Verse*","GV Plaza","GV Plaza","09/12/2018","5:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6414/showDate/09-12-2018/showTime/1725/hallNumber/3"
"Creed II","GV Tampines","GV Tampines","10/12/2018","10:40 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6409/showDate/10-12-2018/showTime/1040/hallNumber/7"
"(Eng Sub)  Mortal Engines*","GV VivoCity","GV VivoCity","09/12/2018","11:10 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6464/showDate/09-12-2018/showTime/1110/hallNumber/10"
"Aquaman*","GV Jurong Point","GV Jurong Point","14/12/2018","6:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6412/showDate/14-12-2018/showTime/1845/hallNumber/5"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Tiong Bahru","GV Tiong Bahru","11/12/2018","4:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6396/showDate/11-12-2018/showTime/1610/hallNumber/4"
"Mortal Engines*","Grand Seats, Great World City","Grand Seats, Great World City","11/12/2018","8:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/076/filmCode/6413/showDate/11-12-2018/showTime/2030/hallNumber/6"
"The Grinch","GV Grand, Great World City","GV Grand, Great World City","09/12/2018","5:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/07/filmCode/6398/showDate/09-12-2018/showTime/1710/hallNumber/5"
"Fantastic Beasts: The Crimes Of Grindelwald","GV VivoCity","GV VivoCity","10/12/2018","10:45 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6395/showDate/10-12-2018/showTime/1045/hallNumber/11"
"Robin Hood","GV Suntec City","GV Suntec City","09/12/2018","9:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6410/showDate/09-12-2018/showTime/2140/hallNumber/4"
"Mortal Engines*","GV Suntec City","GV Suntec City","11/12/2018","9:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6413/showDate/11-12-2018/showTime/2120/hallNumber/5"
"Spider-Man: Into The Spider-Verse*","GV Bedok","GV Bedok","11/12/2018","10:10 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6414/showDate/11-12-2018/showTime/1010/hallNumber/5"
"The Wrath*","GV Bedok","GV Bedok","10/12/2018","6:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/3562/showDate/10-12-2018/showTime/1850/hallNumber/4"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Bishan","GV Bishan","10/12/2018","7:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6396/showDate/10-12-2018/showTime/1940/hallNumber/4"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Katong","GV Katong","10/12/2018","10:45 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6396/showDate/10-12-2018/showTime/1045/hallNumber/1"
"Aquaman*","GV Katong","GV Katong","13/12/2018","4:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6412/showDate/13-12-2018/showTime/1650/hallNumber/3"
"Creed II","GV Grand, Great World City","GV Grand, Great World City","11/12/2018","9:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/07/filmCode/6409/showDate/11-12-2018/showTime/2135/hallNumber/5"
"Aquaman*","Gold Class Grand, Great World City","Gold Class Grand, Great World City","15/12/2018","9:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/70/filmCode/6412/showDate/15-12-2018/showTime/2150/hallNumber/3"
"Robin Hood","GV Plaza","GV Plaza","12/12/2018","10:05 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6410/showDate/12-12-2018/showTime/2205/hallNumber/1"
"Creed II","GV Bishan","GV Bishan","10/12/2018","10:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6409/showDate/10-12-2018/showTime/2235/hallNumber/6"
"(D-Box) Aquaman*","D-BOX, Bishan ","D-BOX, Bishan ","13/12/2018","4:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02*/filmCode/6473/showDate/13-12-2018/showTime/1650/hallNumber/1*"
"The Grinch","GV Tampines","GV Tampines","12/12/2018","11:45 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6398/showDate/12-12-2018/showTime/1145/hallNumber/5"
"Disney's Ralph Breaks the Internet: Wreck-It Ralph 2 (Digital)","321 Clementi","WE-Clementi","10/12/2018","6:30 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78175&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Yishun","GV Yishun","11/12/2018","4:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6396/showDate/11-12-2018/showTime/1610/hallNumber/8"
"Aquaman*","GV Suntec City","GV Suntec City","15/12/2018","9:15 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6412/showDate/15-12-2018/showTime/915/hallNumber/6"
"Robin Hood*","Gold Class VivoCity","Gold Class VivoCity","12/12/2018","6:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/50/filmCode/6410/showDate/12-12-2018/showTime/1855/hallNumber/3"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Tiong Bahru","GV Tiong Bahru","09/12/2018","12:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6395/showDate/09-12-2018/showTime/1225/hallNumber/3"
"Spider-Man: Into The Spider-Verse*","GV Tiong Bahru","GV Tiong Bahru","09/12/2018","7:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6414/showDate/09-12-2018/showTime/1925/hallNumber/3"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Yishun","GV Yishun","10/12/2018","9:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6395/showDate/10-12-2018/showTime/2125/hallNumber/6"
"Aquaman*","Gold Class Katong","Gold Class Katong","14/12/2018","2:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/60/filmCode/6412/showDate/14-12-2018/showTime/1450/hallNumber/2"
"Widows*","GV Katong","GV Katong","09/12/2018","9:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6411/showDate/09-12-2018/showTime/2130/hallNumber/4"
"The Wrath*","GV VivoCity","GV VivoCity","10/12/2018","4:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/3562/showDate/10-12-2018/showTime/1615/hallNumber/8"
"Mortal Engines*","GV Suntec City","GV Suntec City","10/12/2018","10:40 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6413/showDate/10-12-2018/showTime/1040/hallNumber/6"
"Aquaman (Digital)","321 Clementi","WE-Clementi","14/12/2018","6:30 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=77955&args7=78F9C95434406353FDCE1E99790FFDA322645"
"(D-Box) Aquaman*","D-BOX, Bishan ","D-BOX, Bishan ","13/12/2018","7:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02*/filmCode/6473/showDate/13-12-2018/showTime/1955/hallNumber/1*"
"Mortal Engines*","GV City Square","GV City Square","12/12/2018","1:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/11/filmCode/6413/showDate/12-12-2018/showTime/1320/hallNumber/2"
"Mortal Engines*","GV Plaza","GV Plaza","09/12/2018","4:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6413/showDate/09-12-2018/showTime/1625/hallNumber/1"
"(Atmos) Aquaman*","GVmax, VivoCity","GVmax, VivoCity","14/12/2018","3:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/051/filmCode/6472/showDate/14-12-2018/showTime/1515/hallNumber/1"
"Spider-Man: Into The Spider-Verse (Digital)","321 Clementi","WE-Clementi","11/12/2018","4:25 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78275&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Fantastic Beasts: The Crimes of Grindelwald (Digital)","321 Clementi","WE-Clementi","11/12/2018","3:20 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78211&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Widows*","Gold Class Suntec City","Gold Class Suntec City","12/12/2018","6:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/80/filmCode/6411/showDate/12-12-2018/showTime/1825/hallNumber/3"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV VivoCity","GV VivoCity","12/12/2018","6:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6396/showDate/12-12-2018/showTime/1850/hallNumber/11"
"Spider-Man: Into The Spider-Verse*","GV Bedok","GV Bedok","10/12/2018","1:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6414/showDate/10-12-2018/showTime/1350/hallNumber/2"
"Spider-Man: Into The Spider-Verse*","GV VivoCity","GV VivoCity","09/12/2018","4:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6414/showDate/09-12-2018/showTime/1610/hallNumber/2"
"(Atmos) Aquaman*","GVmax Dolby Atmos, VivoCity","GVmax Dolby Atmos, VivoCity","14/12/2018","3:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/051*/filmCode/6472/showDate/14-12-2018/showTime/1515/hallNumber/1"
"Spider-Man: Into The Spider-Verse*","GV Katong","GV Katong","11/12/2018","9:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6414/showDate/11-12-2018/showTime/2115/hallNumber/6"
"Creed II","GV Paya Lebar","GV Paya Lebar","09/12/2018","4:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6409/showDate/09-12-2018/showTime/1635/hallNumber/4"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Bishan","GV Bishan","09/12/2018","6:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6396/showDate/09-12-2018/showTime/1835/hallNumber/5"
"Aquaman*","GV Paya Lebar","GV Paya Lebar","14/12/2018","10:40 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6412/showDate/14-12-2018/showTime/1040/hallNumber/3"
"The Grinch","GV Bishan","GV Bishan","09/12/2018","8:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6398/showDate/09-12-2018/showTime/2010/hallNumber/3"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Suntec City","GV Suntec City","12/12/2018","9:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6395/showDate/12-12-2018/showTime/2145/hallNumber/3"
"Creed II","GV Bishan","GV Bishan","09/12/2018","11:40 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6409/showDate/09-12-2018/showTime/1140/hallNumber/6"
"Widows*","Gold Class VivoCity","Gold Class VivoCity","09/12/2018","9:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/50/filmCode/6411/showDate/09-12-2018/showTime/2120/hallNumber/3"
"Creed II","GV Tampines","GV Tampines","12/12/2018","10:40 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6409/showDate/12-12-2018/showTime/1040/hallNumber/7"
"Mortal Engines*","GV Jurong Point","GV Jurong Point","10/12/2018","1:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6413/showDate/10-12-2018/showTime/1310/hallNumber/5"
"Bohemian Rhapsody","GV VivoCity","GV VivoCity","11/12/2018","9:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6391/showDate/11-12-2018/showTime/2150/hallNumber/5"
"Fantastic Beasts: The Crimes Of Grindelwald","GV VivoCity","GV VivoCity","12/12/2018","4:05 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6395/showDate/12-12-2018/showTime/1605/hallNumber/7"
"Robin Hood (Digital)","321 Clementi","WE-Clementi","9/12/2018","9:00 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78299&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Mortal Engines*","GV Tampines","GV Tampines","11/12/2018","7:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6413/showDate/11-12-2018/showTime/1945/hallNumber/1"
"(D-Box) Aquaman*","GV Bishan","GV Bishan","14/12/2018","9:20 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6473/showDate/14-12-2018/showTime/920/hallNumber/2*"
"Spider-Man: Into The Spider-Verse (Digital)","321 Clementi","WE-Clementi","9/12/2018","10:45 AM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78135&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Robin Hood","GV VivoCity","GV VivoCity","12/12/2018","11:25 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6410/showDate/12-12-2018/showTime/1125/hallNumber/3"
"Aquaman*","GV Bedok","GV Bedok","14/12/2018","10:05 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6412/showDate/14-12-2018/showTime/1005/hallNumber/2"
"Aquaman*","GV Paya Lebar","GV Paya Lebar","13/12/2018","1:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6412/showDate/13-12-2018/showTime/1345/hallNumber/3"
"Aquaman (First Class)","321 Clementi (First Class)","WE-Clementi","14/12/2018","5:20 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=77921&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Aquaman*","GV Bishan","GV Bishan","14/12/2018","9:20 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6412/showDate/14-12-2018/showTime/920/hallNumber/2^"
"Aquaman (Dolby Atmos Digital)","321 Clementi","WE-Clementi","14/12/2018","6:00 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=77981&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Robin Hood*","Gold Class VivoCity","Gold Class VivoCity","09/12/2018","2:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/50/filmCode/6410/showDate/09-12-2018/showTime/1445/hallNumber/1"
"Creed II (First Class)","321 Clementi (First Class)","WE-Clementi","10/12/2018","2:45 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78028&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Aquaman*","Gold Class Suntec City","Gold Class Suntec City","14/12/2018","1:50 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/80/filmCode/6412/showDate/14-12-2018/showTime/150/hallNumber/2"
"Robin Hood","GV Bishan","GV Bishan","11/12/2018","5:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6410/showDate/11-12-2018/showTime/1725/hallNumber/6"
"Disney's Ralph Breaks the Internet: Wreck-It Ralph 2 (Digital)","321 Clementi","WE-Clementi","11/12/2018","2:00 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78368&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Spider-Man: Into The Spider-Verse*","GV Suntec City","GV Suntec City","12/12/2018","4:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6414/showDate/12-12-2018/showTime/1625/hallNumber/7"
"Spider-Man: Into The Spider-Verse*","GV Bedok","GV Bedok","12/12/2018","4:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6414/showDate/12-12-2018/showTime/1625/hallNumber/2"
"(Tamil) (3d) 2.0*","GV Suntec City","GV Suntec City","11/12/2018","12:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/4835/showDate/11-12-2018/showTime/1210/hallNumber/2"
"Robin Hood","GV VivoCity","GV VivoCity","12/12/2018","9:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6410/showDate/12-12-2018/showTime/2145/hallNumber/3"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV VivoCity","GV VivoCity","12/12/2018","4:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6396/showDate/12-12-2018/showTime/1615/hallNumber/11"
"The Grinch","GV Plaza","GV Plaza","09/12/2018","2:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6398/showDate/09-12-2018/showTime/1430/hallNumber/2"
"Mortal Engines*","GV Yishun","GV Yishun","09/12/2018","2:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6413/showDate/09-12-2018/showTime/1415/hallNumber/9"
"Aquaman*","GV Plaza","GV Plaza","14/12/2018","2:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6412/showDate/14-12-2018/showTime/1440/hallNumber/5"
"(Hindi) 2.0*","GV City Square","GV City Square","11/12/2018","3:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/11/filmCode/4827/showDate/11-12-2018/showTime/1540/hallNumber/6"
"Bohemian Rhapsody","GV Bishan","GV Bishan","11/12/2018","9:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6391/showDate/11-12-2018/showTime/2110/hallNumber/5"
"The Grinch","GV Suntec City","GV Suntec City","10/12/2018","1:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6398/showDate/10-12-2018/showTime/1350/hallNumber/7"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Katong","GV Katong","09/12/2018","6:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6395/showDate/09-12-2018/showTime/1830/hallNumber/2"
"Mortal Engines*","GV Tiong Bahru","GV Tiong Bahru","09/12/2018","4:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6413/showDate/09-12-2018/showTime/1610/hallNumber/1"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV VivoCity","GV VivoCity","11/12/2018","10:35 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6396/showDate/11-12-2018/showTime/1035/hallNumber/11"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Katong","GV Katong","11/12/2018","6:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6396/showDate/11-12-2018/showTime/1850/hallNumber/1"
"Aquaman*","GV Grand, Great World City","GV Grand, Great World City","14/12/2018","11:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/07/filmCode/6412/showDate/14-12-2018/showTime/2350/hallNumber/6"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Tampines","GV Tampines","11/12/2018","4:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6396/showDate/11-12-2018/showTime/1600/hallNumber/2"
"Robin Hood","GV Yishun","GV Yishun","12/12/2018","5:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6410/showDate/12-12-2018/showTime/1720/hallNumber/5"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Tampines","GV Tampines","12/12/2018","7:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6395/showDate/12-12-2018/showTime/1915/hallNumber/7"
"Aquaman*","GV Tiong Bahru","GV Tiong Bahru","15/12/2018","10:40 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6412/showDate/15-12-2018/showTime/1040/hallNumber/1"
"Mortal Engines*","GV Paya Lebar","GV Paya Lebar","10/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6413/showDate/10-12-2018/showTime/1840/hallNumber/2"
"The Grinch","GV Bishan","GV Bishan","10/12/2018","1:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6398/showDate/10-12-2018/showTime/1300/hallNumber/3"
"(D-Box) Aquaman*","GV Bishan","GV Bishan","15/12/2018","12:45 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6473/showDate/15-12-2018/showTime/45/hallNumber/2*"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Grand, Great World City","GV Grand, Great World City","11/12/2018","4:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/07/filmCode/6396/showDate/11-12-2018/showTime/1615/hallNumber/4"
"Pokemon The Movie: The Power Of Us","GV Tampines","GV Tampines","09/12/2018","9:25 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6408/showDate/09-12-2018/showTime/925/hallNumber/5"
"Aquaman*","GV Paya Lebar","GV Paya Lebar","14/12/2018","6:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6412/showDate/14-12-2018/showTime/1845/hallNumber/2"
"(D-Box) Aquaman*","GV Bishan","GV Bishan","15/12/2018","12:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6473/showDate/15-12-2018/showTime/1225/hallNumber/2*"
"(D-Box) Aquaman*","D-BOX, Bishan ","D-BOX, Bishan ","15/12/2018","1:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02*/filmCode/6473/showDate/15-12-2018/showTime/1310/hallNumber/1*"
"The Grinch","GV Katong","GV Katong","12/12/2018","7:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6398/showDate/12-12-2018/showTime/1930/hallNumber/4"
"(Tamil) 2.0*","GV Jurong Point","GV Jurong Point","12/12/2018","3:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/4834/showDate/12-12-2018/showTime/1510/hallNumber/1"
