"Aquaman*","GV Bedok","GV Bedok","13/12/2018","1:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6412/showDate/13-12-2018/showTime/1315/hallNumber/2"
"Aquaman*","GV Katong","GV Katong","14/12/2018","7:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6412/showDate/14-12-2018/showTime/1920/hallNumber/3"
"Mortal Engines (Digital)","321 Clementi","WE-Clementi","11/12/2018","4:45 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78114&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Mortal Engines*","GV VivoCity","GV VivoCity","09/12/2018","9:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6413/showDate/09-12-2018/showTime/2120/hallNumber/1"
"Aquaman*","GV Bedok","GV Bedok","13/12/2018","6:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6412/showDate/13-12-2018/showTime/1845/hallNumber/1"
"Spider-Man: Into The Spider-Verse*","GV Yishun","GV Yishun","09/12/2018","10:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6414/showDate/09-12-2018/showTime/2230/hallNumber/7"
"Aquaman*","GV Grand, Great World City","GV Grand, Great World City","13/12/2018","7:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/07/filmCode/6412/showDate/13-12-2018/showTime/1920/hallNumber/1"
"Aquaman*","GV VivoCity","GV VivoCity","15/12/2018","9:40 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6412/showDate/15-12-2018/showTime/940/hallNumber/4"
"Creed II","GV VivoCity","GV VivoCity","11/12/2018","2:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6409/showDate/11-12-2018/showTime/1400/hallNumber/5"
"Aquaman*","GV Bishan","GV Bishan","14/12/2018","12:45 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6412/showDate/14-12-2018/showTime/45/hallNumber/2^"
"(D-Box) Spider-Man:Into The Spider-Verse*","D-BOX, Bishan ","D-BOX, Bishan ","12/12/2018","9:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02*/filmCode/6470/showDate/12-12-2018/showTime/2115/hallNumber/2*"
"Aquaman*","GV Bishan","GV Bishan","15/12/2018","12:45 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6412/showDate/15-12-2018/showTime/45/hallNumber/2^"
"Mortal Engines*","GV VivoCity","GV VivoCity","12/12/2018","12:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6413/showDate/12-12-2018/showTime/1240/hallNumber/1"
"Aquaman*","GV Jurong Point","GV Jurong Point","13/12/2018","9:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6412/showDate/13-12-2018/showTime/2150/hallNumber/5"
"Spider-Man: Into The Spider-Verse (Digital)","321 Clementi","WE-Clementi","9/12/2018","4:25 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78265&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Mortal Engines*","GV City Square","GV City Square","11/12/2018","1:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/11/filmCode/6413/showDate/11-12-2018/showTime/1320/hallNumber/2"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph*","Gold Class VivoCity","Gold Class VivoCity","10/12/2018","7:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/50/filmCode/6396/showDate/10-12-2018/showTime/1930/hallNumber/2"
"Aquaman*","GV Bedok","GV Bedok","15/12/2018","9:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6412/showDate/15-12-2018/showTime/930/hallNumber/1"
"Mortal Engines*","GV Paya Lebar","GV Paya Lebar","10/12/2018","3:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6413/showDate/10-12-2018/showTime/1550/hallNumber/2"
"Robin Hood","GV Plaza","GV Plaza","12/12/2018","4:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6410/showDate/12-12-2018/showTime/1625/hallNumber/7"
"Bohemian Rhapsody*","Gold Class Suntec City","Gold Class Suntec City","10/12/2018","9:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/80/filmCode/6391/showDate/10-12-2018/showTime/2120/hallNumber/3"
"Mortal Engines*","GV Paya Lebar","GV Paya Lebar","12/12/2018","3:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6413/showDate/12-12-2018/showTime/1550/hallNumber/2"
"Aquaman (First Class)","321 Clementi (First Class)","WE-Clementi","16/12/2018","2:05 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=77930&args7=78F9C95434406353FDCE1E99790FFDA322645"
"(Jap) Pokemon The Movie: The Power Of Us","GV Plaza","GV Plaza","11/12/2018","9:50 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/3560/showDate/11-12-2018/showTime/950/hallNumber/3"
"Creed II","GV Katong","GV Katong","12/12/2018","1:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6409/showDate/12-12-2018/showTime/1325/hallNumber/5"
